ID	Message	Yes	No	Not sure
1	Do you intern at a for-profit company or with government other than Congress?	2	1a	
1a	Do you intern at a not-for-profit organization?	8	1b	
1b	Do you intern for Congress?	congress	2	
2	Do you receive training similar to what you would get at a college, school, or another educational institution?	3	9	2a
2a	Does a college, university, secondary school, specialist, technical, vocational or trade school oversee the program and award vocational credit?	4	2b	
2b	Does the internship teach skills that are useful in jobs outside of the employer's operation?	3	9	2c
2c	Do you perform the routine work of the business on a regular basis?	9	3	2d
2d	Is the business dependent upon your work?	9	3	2e
2e	Are you engaged in productive work -- for example, filing, clerical work, or helping customers?	9	3	
3	Are you the primary beneficiary of your training?	4	9	3a
3a	Is an academic institution giving you credit for the internship?	4	3b	
3b	Does your employer derive more than incidental benefit from your work?	9	4	4
4	Do you sometimes perform the same tasks as regular employees?	4a	5	
4a	When you perform these tasks, are you under close and constant supervision?	5	9	4b
4b	When you perform these tasks, do you receive the same level of supervision as regular workers?	9	4c	4c
4c	Do you ever substitute for regular workers at specific (peak) time periods?	9	4d	4d
4d	Would your employer need to hire more employees, or require their current staff to work more hours, if you weren't there?	9	5	5
5	Are your activities of immediate advantage to your employer?	9	6	5a
5a	Is your employer dedicating any special resources (training, supervision) to your internship that could detract from their productivity?	6	9	6
6	Are you guaranteed a job at your office when the internship is over?	9	7	6a
6a	Is there a direct connection between your completion of the internship and a job offer?	9	7	6b
6b	Does your organization consider the internship to be a "trial period" for your employment?	9	7
7	Were you notified prior to starting your position, in writing, that you will not receive wages and are not considered an employee?	win	9	
8	Are you interning full-time?	fail	8a	
8a	Have you been working part-time regularly for the long term — over six months?	fail	8b	
8b	Is your internship for civic, humanitarian, or charitable purposes?	fail-not-for-profit	fail
9	Were you interning for government?	9a	fail
9a	Was it state or local, rather than federal, government?	fail-local	fail-federal
